Member,Total IMF Credit Outstanding as of 11/30/2023,Total Disbursements,Total Repayments,Total IMF Credit Outstanding as of 12/25/2023,ISO
"Afghanistan, Islamic Republic of",375246000,0,900000,374346000,AFG
Albania,213100010,0,1962500,211137510,ALB
Angola,3153816667,0,74499999,3079316668,AGO
Argentina,31100000000,0,687500000,30412500000,ARG
"Armenia, Republic of",292555350,0,4894165,287661185,ARM
"Bahamas, The",159600000,0,22800000,136800000,BHS
Bangladesh,897332400,519020000,18284600,1398067800,BGD
Barbados,358691668,56700000,2916666,412475002,BRB
Benin,574408200,101580000,2652700,673335500,BEN
Bosnia and Herzegovina,278165625,0,0,278165625,BIH
Burkina Faso,303260500,0,4929500,298331000,BFA
Burundi,103100000,0,0,103100000,BDI
Cabo Verde,50720000,0,0,50720000,CPV
Cameroon,1043280000,55200000,8280000,1090200000,CMR
Central African Republic,219708000,0,4093500,215614500,CAF
Chad,532819000,0,2065000,530754000,TCD
Colombia,3750000000,0,0,3750000000,COL
Comoros,16329275,3560000,155750,19733525,COM
"Congo, Democratic Republic of",1294500000,152300000,0,1446800000,COD
"Congo, Republic of",259200000,32400000,0,291600000,COG
Costa Rica,1194430000,0,46175000,1148255000,CRI
Cote d'Ivoire,1745902620,371657000,68773916,2048785704,CIV
Djibouti,31800000,0,0,31800000,DJI
Dominica,12740000,0,0,12740000,DMA
Dominican Republic,358050000,0,0,358050000,DOM
Ecuador,5939783334,0,15054166,5924729168,ECU
Egypt,11968321674,0,419738332,11548583342,EGY
El Salvador,215400000,0,0,215400000,SLV
Equatorial Guinea,76537000,0,0,76537000,GNQ
"Eswatini, The Kingdom of",78500000,0,9812500,68687500,SWZ
Ethiopia,449375000,0,0,449375000,ETH
Gabon,688135000,0,17857500,670277500,GAB
"Gambia, The",97762500,0,0,97762500,GMB
Georgia,456500000,0,10000000,446500000,GEO
Ghana,1644377000,0,0,1644377000,GHA
Grenada,23008000,0,600000,22408000,GRD
Guinea,324016500,0,1721000,322295500,GIN
Guinea-Bissau,34913400,6160000,1117000,39956400,GNB
Haiti,184988700,0,163800,184824900,HTI
Honduras,481291875,0,22586125,458705750,HND
Jamaica,591162534,0,18762506,572400028,JAM
Jordan,1397496917,0,4288750,1393208167,JOR
Kenya,2058982100,0,7192100,2051790000,KEN
Kosovo,61951000,0,0,61951000,UVK
Kyrgyz Republic,187959200,0,14060000,173899200,KGZ
Lesotho,31995000,0,0,31995000,LSO
Liberia,174425800,0,4245400,170180400,LBR
Madagascar,656250400,0,6197800,650052600,MDG
Malawi,340596000,0,7372000,333224000,MWI
Maldives,21200000,0,0,21200000,MDV
Mali,371907600,0,6000000,365907600,MLI
Mauritania,246284000,16100000,3312000,259072000,MRT
"Moldova, Republic of",526823338,70950000,2728333,595045005,MDA
Mongolia,180905357,0,15880899,165024458,MNG
"Montenegro, Republic of",52937500,0,7562500,45375000,MNE
Morocco,1499800000,0,0,1499800000,MAR
Mozambique,480906664,0,9466664,471440000,MOZ
Myanmar,495266250,0,21533750,473732500,MMR
Namibia,191100000,0,0,191100000,NAM
Nepal,288860000,39200000,0,328060000,NPL
Nicaragua,130000000,0,0,130000000,NIC
Niger,367186500,0,7848500,359338000,NER
Nigeria,1840875000,0,0,1840875000,NGA
"North Macedonia, Republic of",189405000,0,0,189405000,MKD
Pakistan,5840125002,0,180000000,5660125002,PAK
Panama,282600000,0,0,282600000,PAN
Papua New Guinea,394820000,0,0,394820000,PNG
Rwanda,280205820,103724160,8010000,375919980,RWA
St. Lucia,21400000,0,0,21400000,LCA
St. Vincent and the Grenadines,20287450,0,0,20287450,VCT
Samoa,16200000,0,0,16200000,WSM
Sao Tome & Principe,24816432,0,290713,24525719,STP
Senegal,1013907500,210340000,0,1224247500,SEN
"Serbia, Republic of",949460000,0,0,949460000,SRB
Seychelles,89462000,9230000,956250,97735750,SYC
Sierra Leone,365023800,0,7249600,357774200,SLE
Solomon Islands,19303970,0,1748607,17555363,SLB
Somalia,285429780,37000000,250429780,72000000,SOM
South Africa,2669800000,0,0,2669800000,ZAF
South Sudan,246000000,0,0,246000000,SSD
Sri Lanka,962423844,254000000,39620166,1176803678,LKA
Sudan,991551000,0,0,991551000,SDN
Suriname,157600000,39400000,0,197000000,SUR
"Tajikistan, Republic of",139200000,0,0,139200000,TJK
Tanzania,626530000,113370000,0,739900000,TZA
Togo,237582000,0,5034000,232548000,TGO
Tonga,13800000,0,0,13800000,TON
Tunisia,1259139338,0,33672841,1225466497,TUN
Uganda,902500000,0,0,902500000,UGA
Ukraine,8691814173,663900000,312500000,9043214173,UKR
"Uzbekistan, Republic of",229712500,0,0,229712500,UZB
Vanuatu,3400000,0,850000,2550000,VUT
"Yemen, Republic of",9750000,0,0,9750000,YEM
Zambia,279760000,139880000,0,419640000,ZMB
