WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
512,AFG,NGDPRPPPPC,Afghanistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,1442.769,1506.218,1459.345,1576.698,1611.291,1758.615,1781.227,2093.415,2207.108,2278.485,2513.139,2569.343,2555.967,2506.346,2492.647,2515.553,2392.418,2439.677,2328.757,1945.371,1793.916,,,,,,,,2023.0
914,ALB,NGDPRPPPPC,Albania,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5557.555,5757.844,5800.928,5741.664,5734.567,5533.6,5731.6,5573.326,5392.591,5764.035,5095.136,3690.679,3445.783,3799.692,4182.46,4582.92,5031.138,4509.643,4938.799,5610.87,6038.985,6601.478,6921.684,7331.739,7768.469,8239.854,8781.447,9377.463,10158.433,10570.167,11016.55,11327.398,11506.955,11643.566,11874.74,12173.622,12597.301,13039.696,13570.554,13862.63,13419.375,14639.597,15383.88,15935.294,16476.659,17090.905,17750.321,18431.571,19144.767,19889.199,2021.0
612,DZA,NGDPRPPPPC,Algeria,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",10218.263,10207.634,10523.023,10738.784,10987.233,11066.815,10754.033,10404.94,9910.77,10134.184,10083.801,9721.525,9640.961,9219.623,8936.608,9093.926,9272.29,9219.688,9538.175,9692.945,9882.848,10032.007,10418.306,10931.954,11257.407,11684.367,11840.876,12029.272,12063.113,11968.318,12297.062,12410.163,12448.28,12504.092,12743.188,12866.813,13080.748,12998.363,12920.12,12786.558,12026.735,12281.106,12524.602,12854.883,13162.677,13391.67,13557.343,13679.396,13802.24,13927.054,2019.0
171,AND,NGDPRPPPPC,Andorra,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60467.086,60911.089,57892.718,55672.916,56578.793,56460.538,57455.308,56352.197,56208.168,56330.948,49728.236,52819.99,56415.783,55317.396,55218.64,54957.623,54697.84,54439.286,54181.953,53925.837,2022.0
614,AGO,NGDPRPPPPC,Angola,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3496.048,3254.269,3170.396,3219.271,3324.535,3053.547,3054.82,3100.31,3203.555,3119.337,2933.412,3180.311,3429.696,3687.462,3946.765,4214.831,4533.696,4703.96,4765.766,4715.12,4704.042,4743.472,5214.845,5190.531,5560.617,6172.758,6642.628,7302.588,7825.396,7606.389,7683.606,7657.088,8004.574,8093.129,8176.552,7960.448,7481.876,7210.026,6872.841,6596.756,6024.653,5906.891,5880.912,5736.462,5711.848,5718.959,5740.869,5768.622,5800.329,5835.771,2021.0
311,ATG,NGDPRPPPPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8035.73,8408.199,8498.521,9085.13,10172.575,11136.582,12635.412,13710.568,14643.582,15554.714,16038.962,16255.198,16178.585,16656.261,17319.18,16128.15,16729.433,17159.331,17493.019,17703.964,18413.006,17280.92,17283.433,18158.932,19016.032,20042.005,22351.758,24170.701,23896.288,20795.824,18939.279,18363.264,18714.358,18332.457,18747.095,19171.493,19917.622,20231.285,21285.936,21879.305,17783.905,18674.669,19966.001,20842.348,21808.434,22387.965,22709.093,23035.47,23369.629,23711.77,2022.0
213,ARG,NGDPRPPPPC,Argentina,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18295.43,16941.517,16135.866,16504.371,16552.431,15143.015,16019.229,16239.404,15729.402,14448.213,13961.355,15221.154,16562.766,17339.998,18118.153,17387.03,18130.831,19376.357,19898.279,19016.963,18669.291,17667.359,15591.765,16829.222,18158.053,19577.851,20947.882,22610.954,23297.932,21706.693,23521.279,24647.633,24118.874,24424.139,23550.112,23933.897,23189.53,23597.118,22747.258,22071.752,19694.565,21599.809,22461.445,21890.108,21074.265,21909.558,22667.678,23318.598,23803.442,24109.953,2010.0
911,ARM,NGDPRPPPPC,Armenia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,2869.118,2524.428,2725.446,3008.385,3213.801,3354.408,3599.154,3737.288,3968.862,4373.031,5037.008,5763.714,6388.343,7338.391,8334.602,9512.249,10207.267,8792.453,8996.936,9414.576,10079.399,10388.322,10744.185,11074.408,11087.768,11974.031,12644.049,13637.865,12667.555,13384.879,15070.693,16382.681,17366.109,18276.368,19097.276,19955.057,20851.367,21787.935,2020.0
314,ABW,NGDPRPPPPC,Aruba,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,21671.743,25441.905,30013.645,32962.475,32967.377,34292.324,35073.111,35244.59,36215.205,36094.061,35131.701,36168.376,35991.147,35993.132,38361.726,39593.982,38949.239,38935.868,40893.21,39695.063,39427.559,40343.732,40771.924,35766.869,34709.273,35615.545,34730.664,36416.742,35459.05,34879.199,35211.099,37690.202,38526.637,37537.78,28697.096,36930.258,40940.974,43178.994,43694.872,44187.587,44742.213,45316.552,45914.084,46519.494,2021.0
193,AUS,NGDPRPPPPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",26309.998,26963.346,26539.592,26081.926,27394.216,28483.28,28749.882,29685.854,30406.099,31349.165,31391.676,30705.221,31179.117,32108.061,33337.59,33895.708,34851.201,36119.971,37424.989,38634.804,39366.164,39893.241,41085.509,41845.946,43094.544,43809.19,44274.257,45354.018,45522.915,45590.478,46055.962,46596.854,47510.634,47800.108,48325.632,48750.662,49254.076,49684.176,50312.983,50474.874,49187.756,51636.254,52517.168,52965.194,53206.702,53757.428,54369.352,55016.423,55687.724,56381.1,2021.0
